,Title,Meta title,Meta description
0,JM Cunha Santos: Mulher condenada por matar cães e gatos tem pena aumentada para 17 anos de cadeia,Mulher condenada por matar cães e gatos tem pena aumentada para 17 anos de cadeia,"   POR JUSSARA SOARES     O GLOBO             Condenada em 2015 a 12 anos de prisão por matar 37 cães e gatos, a dona de casa Dalva Lina da ..."
1,"Cem anos depois, a Rússia ainda debate o comunismo - Em Pauta - Campo Grande News","Cem anos depois, a Rússia ainda debate o comunismo","A Rússia deixou de comemorar o 7 de novembro, data da tomada de poder pelos comunistas. À partir de 2005, a Rússia festeja o 4 de novembro, o Dia da Unidade Popular, uma tentativa de unir todos os russos e esquecer o passado. O único ponto de apoio espiritual comum entre as gerações, passou a ser o 9 de maio, o dia em que a Rússia comemora a vitória na Segunda Guerra Mundial. As turbulências segue..."
2,Motociclista é encontrado morto em rodovia de Votuporanga | Rio Preto e Araçatuba | G1,Motociclista é encontrado morto em rodovia de Votuporanga,"Segundo a polícia, as causas da morte do motociclista serão apuradas. Ele foi encontrado ao lado da moto. "
3,"Sem Cueva, Dorival Junior faz mistério em escalação do São Paulo contra Botafogo - Esportes - Home","Sem Cueva, Dorival Junior faz mistério em escalação do São Paulo contra Botafogo",...
4,Ex-governador de Mato Grosso do Sul é alvo de operação contra corrupção - Política - Portal O Dia,Ex-governador de Mato Grosso do Sul é alvo de operação contra corrupção - Política - Portal O Dia,A investida tem como objetivo desbaratar uma suposta organização criminosa que direcionava licitações públicas e superfaturava contratos.
5,Runtime Error,Página sem meta title,Página sem meta description
6,"
Artigo: 'A coragem é viral', diz ativista sobre onda de denúncias de assédio - Jornal O Globo
","Artigo: 'A coragem é viral', diz ativista sobre onda de denúncias de assédio","Para a fundadora da ONG Think Olga, Juliana de Faria, a sociedade está amadurecendo"
7,"Renata Fan desabafa e diz que já foi xingada muitas vezes de vagabunda: 'Na hora de falar, as pessoas são cruéis' - ESPN.com.br","Renata Fan desabafa e diz que já foi xingada muitas vezes de vagabunda: 'Na hora de falar, as pessoas são cruéis'",
8,"
As Minhas Receitas: Caldeirada de Borrego 
",Caldeirada de Borrego ,"     O fim de semana já passou. Entre festas de aniversários, workshops e preparação de novas receitas. Tomámos um pequeno almoço mais demor..."
9,"
Finanças rejeita criação de cargos em secretaria do Ministério da Justiça | SERVIDOR PÚBLICO FEDERAL
",Finanças rejeita criação de cargos em secretaria do Ministério da Justiça,O Jornal do servidor público federal
10,"Defesa Civil emite alerta de inundação, deslizamento e rolamento de blocos no ES","Defesa Civil emite alerta de inundação, deslizamento e rolamento de blocos no ES","A Região Sudeste do Brasil terá mais chuva neste domingo (3), com a persistência e a formação de novas áreas de instabilidade, de acordo com o instituto Climatempo"
11,403 Forbidden,Página sem meta title,Página sem meta description
12,Tribunal de Justiça do Estado da Bahia,Página sem meta title,Página sem meta description
13,"Professor Flávio Tartuce -  Direito Civil: XI CONGRESSO BRASILEIRO DE DIREITO DE FAMÍLIA. IBDFAM. BH, OUTUBRO DE 2017","XI CONGRESSO BRASILEIRO DE DIREITO DE FAMÍLIA. IBDFAM. BH, OUTUBRO DE 2017",  
14,15° FÓRUM DE CERTIFICAÇÃO DIGITAL- NOVAS NORMAS DO ITI,Página sem meta title,Página sem meta description
15,Lojas demoram até 70 dias para entregar móveis; entenda seus direitos - Economia - Campo Grande News,Lojas demoram até 70 dias para entregar móveis; entenda seus direitos,"Comprar móveis em Campo Grande pode exigir paciência pela entrega do produto, que em algumas lojas pode demorar até 70 dias. O tempo de espera depende do estoque e da necessidade do cliente em alterar algum detalhe, o que exige encomenda. Desde que tudo esteja no papel, não há problemas nesse prazo de espera, segundo as normas que regem as leis de consumo.
“Os meus medidos já têm um prazo padrão d..."
16,Bahia Notícias / Notícia / Operação Fraternos: STJ nega pedido para que Robério e Cláudia voltem aos cargos - 13/11/2017,Operação Fraternos: STJ nega pedido para que Robério e Cláudia voltem aos cargos,"O ministro Ribeiro Dantas, da Quinta Turma do Superior Tribunal de Justiça (STJ), negou o pedido da defesa dos prefeitos afastados de Porto Seguro, Cláudia Oliveira, e Eunápo"
17,maringa.odiario.com,Página sem meta title,Página sem meta description
18, Taylor Swift | Reputation pode não ser disponibilizado em streaming | Notícia | Omelete ,Taylor Swift | Reputation pode não ser disponibilizado em streaming,Executivos aguardam resposta da cantora
